;niche;channel_id;channel_title;shorts_in_sample;sample_views_sum;sample_views_median;sample_views_per_day_median;subscribers
118;Data Science & ML;UC2WHh-AOj_0eoXLViBIk6sA;Easy Coding With Arun ;1;2664;2664;18.130.610.316.756.200;
117;Data Science & ML;UCQco36nbQdBSt-Ofc7WLxQA;Papa Bale's Pulse Motors;1;2688;2688;14.847.199.295.308.000;
116;Data Science & ML;UCLH8ZMBqHoFMCmfn8EyGTeQ;Insightforge | AI & Data Science;1;2746;2746;223.942.943.769.637;
86;Cybersecurity;UCqWZHEwbGJHOWkMCaJaEi9Q;Monkey Hacker;1;3384;3384;1.508.826.324.470.240;
115;Data Science & ML;UCK8ZoIpAwrzFcELY8EEFtwA;julia’s algos;1;3647;3647;17.654.918.587.730.000;
410;Side Hustles & Money Tips;UC59gKwHmEGGkUK3PCVzM8Pg;Prince Jalani;1;3719;3719;1.521.680.266.364.060;
114;Data Science & ML;UCiKIZYynOk00mhzUkeccWLw;Bhoir Electricals;1;3827;3827;13.426.427.398.333.000;
113;Data Science & ML;UC-zVytOQB62OwMhKRi0TDvg;AI Anytime;1;4081;4081;16.036.623.086.989.300;
85;Cybersecurity;UCpc9szj2RlYYrNv6PYjHeEQ;Andhika IT;1;4264;4264;27.548.686.757.543.800;
409;Side Hustles & Money Tips;UC2-Y36TqZ5MH6N1cWpmsBRQ;BeerBiceps SkillHouse;1;4315;4315;14.706.150.210.173.800;
408;Side Hustles & Money Tips;UCgz3qr4nXl55iHjHwRc7A-w;SmartHustler;1;4530;4530;1.538.747.855.747.430;
407;Side Hustles & Money Tips;UCfmVyqAkbesk02kI09Mqvnw;Dharmveer business ideas ;1;4640;4640;5.272.563.441.985.830;
406;Side Hustles & Money Tips;UC9A-aGfLROhyCxu-8T4bDLA;MoneyMoves Daily;1;4691;4691;17.466.929.847.766.600;
82;Crypto & Web3;UC2C_EH1ILBI0Ue466OUZfkA;100 Mill Podcast;1;6019;6019;4.646.286.657.610.570;
81;Crypto & Web3;UCaF7Uw1b-U1mFbaHMs8JKRQ;Movieseries ;1;6763;6763;3.100.050.504.943.210;
405;Side Hustles & Money Tips;UCdKrrP3M80iRqgS0ETVHGMg;Cash&Curiosity ;1;7341;7341;25.805.938.963.609.100;
112;Data Science & ML;UCCktnahuRFYIBtNnKT5IYyg;Intellipaat;1;8372;8372;13.190.159.351.704.000;
80;Crypto & Web3;UCOllocQfcxXYFGPyPaM76YQ;King of millions ;1;8889;8889;6.699.346.273.911.710;
14;AI Tools & Prompts;UC_YtdY97Ult-XU-KUDsnkUA;Artistrajk ;1;9324;9324;4.295.572.326.402.490;
404;Side Hustles & Money Tips;UCIqXeX5wB4VVYq_V2pIDNkA;amiloom;1;9352;9352;41.844.730.417.014.600;
13;AI Tools & Prompts;UCLlnnIjxp4iiLhuC0gtK99Q;With love thasni🤍;1;9514;9514;5.420.176.196.458.360;
403;Side Hustles & Money Tips;UCa7fYpEleoGF2rxKkh761YA;ecomvin;1;10212;10212;3.754.075.307.334.230;
12;AI Tools & Prompts;UCfIsp-YZCAwTsNZMHrn9spQ;AI Creator Deep;1;10227;10227;1.396.721.313.411.170;
11;AI Tools & Prompts;UCEVzRhk5ItS4Ukg5BaWZs0A;Viral Sakhiya AI;1;10244;10244;1.935.097.028.630.870;
84;Cybersecurity;UCGLfzfKRUsV6BzkrF1kJGsg;El Pingüino de Mario;1;12172;12172;4.186.461.652.476.240;
402;Side Hustles & Money Tips;UCKivrXXCCAA9btHjUcVTzZQ;BizWhiz Central;1;13462;13462;46.223.413.217.356.900;
79;Crypto & Web3;UCEUSghcJq5-V1dHeuNNgp4Q;Balance Of Power;1;14093;14093;11.148.996.091.630.900;
78;Crypto & Web3;UCHR5ZhT8ek1qKZxvSLzs_pQ;Key of wealthy;2;14307;7153.5;3.903.367.573.597.480;
