,niche,title,channel_title,views,views_per_day,shorts_score,duration_s,published_at,video_url,channel_url,source_query,created_at,subscribers,video_count,total_views
446,Pets (Cats/Dogs),Cutest Cat & Mouse Duo Ever? 🐱🐭 #cats #shorts,Daily Dose Of Energy And Cute,171420828,6065488.443125572,1.05,6,2025-11-27T16:20:00Z,https://www.youtube.com/watch?v=Vml55WdMeHs,https://www.youtube.com/channel/UCMHil9aRx1iMF1auSYm5uLw,funny cats #shorts,2025-09-13T12:49:37.665608Z,99100,74,267524146
533,Language Learning,"Fat, Fatter, Fattest 👉 Comparative Adjectives | Kids English Words | Adi Connection #shorts",Adi Connection,129858315,4899494.056845556,1.05,21,2025-11-29T10:30:28Z,https://www.youtube.com/watch?v=p1odihcqyNw,https://www.youtube.com/channel/UCy_DlTwLI812Lh-OIKYrwrQ,learn english #shorts,2019-06-23T10:09:35Z,3880000,737,4223305825
596,Memes & Comedy,Tillu with a Torch🔦😂#shorts #comedy #funny #olidavines,OLIDA  Vlogs and Vines,109943190,5971643.246164208,1.05,37,2025-12-07T12:45:13Z,https://www.youtube.com/watch?v=rJWZCNnMFqM,https://www.youtube.com/channel/UCvi4a7mPeq1cv1EYQK4tzRA,funny shorts,2021-04-13T16:06:55.209645Z,11100000,1076,6804451589
460,Wildlife & Nature,She shielded her baby from the avalanche 😭💔 #animals #animalshorts,Cheetah Stories,103637930,3938036.251899104,1.05,16,2025-11-29T15:00:06Z,https://www.youtube.com/watch?v=av1p1XcqvVk,https://www.youtube.com/channel/UCsGz4p7620z8iXu4xjzz4cA,wildlife shorts,2024-05-01T15:55:08.919781Z,39400,15,106309915
174,Roblox,Bacon really THREW ME 🤣 Roblox Brookhaven Meme #roblox #funny #meme #shorts,MiAnimation🎬 ,92847251,3721994.33591616,1.05,10,2025-11-30T23:55:01Z,https://www.youtube.com/watch?v=-EUtJYwg9gg,https://www.youtube.com/channel/UCfF7GECIz-rj74KMh9S4ilg,roblox shorts,2022-01-15T23:49:58.93441Z,3920000,584,5053081176
534,Language Learning,Kids Learn To Brush Teeth🦷✨ | Good Habits | Nursery Baby Cartoon 🐥 #toddlersongs #shorts,Jugnu Kids PlayTime - Nursery Rhymes & kids songs,78144214,2628133.782888886,1.05,20,2025-11-26T05:00:17Z,https://www.youtube.com/watch?v=EKEBV-g7020,https://www.youtube.com/channel/UCKWFXFYZ3V3wLXCkfzS5kXQ,learn english #shorts,2018-07-24T09:29:29Z,3410000,442,2376423160
15,Motivation & Self-Improvement,अगर अभी दुख आया है तो सुख भी जरूर आएगा #motivation #shorts #quotes,True Wibe YT,75518731,3713309.986451646,1.05,4,2025-12-05T14:30:48Z,https://www.youtube.com/watch?v=l8MhnJCTB10,https://www.youtube.com/channel/UCMYcYLsfbC4WeS7CvLvM84w,motivation #shorts,2025-06-16T15:32:17.24529Z,26300,95,109526567
175,Roblox,GIRLS vs BOYS IN JAIL #shorts #roblox,The Prince Family Clubhouse,74278755,2940375.8974728733,1.05,14,2025-11-30T16:19:51Z,https://www.youtube.com/watch?v=IgfNdUo8zXM,https://www.youtube.com/channel/UCqONv8hrKKTd0ELJcxOVNJQ,roblox shorts,2017-07-24T15:44:18Z,10000000,1174,4082500610
597,Memes & Comedy,Husky Dance 💃🤣 | Funny Shorts | School Life #youtubeshorts #schoollife #trending #shorts #funny,DA Entertainment ,63181638,2216548.7126904004,1.05,60,2025-11-27T10:30:23Z,https://www.youtube.com/watch?v=eyDh_zn2190,https://www.youtube.com/channel/UCJTeKtGJKvQuWKxChR2mdDg,funny shorts,2022-12-31T18:52:34.653893Z,1330000,1094,1224520007
598,Memes & Comedy,Tillu ki Ghar main New BED🛌😂#shorts #comedy #funny #olidavines,OLIDA  Vlogs and Vines,62456950,3590698.512211762,1.05,36,2025-12-08T13:09:23Z,https://www.youtube.com/watch?v=8Zj3kL28-Hk,https://www.youtube.com/channel/UCvi4a7mPeq1cv1EYQK4tzRA,funny shorts,2021-04-13T16:06:55.209645Z,11100000,1076,6804451589
